2023-06-05 16:19:30,461 INFO    MainThread:2884 [wandb_setup.py:_flush():76] Current SDK version is 0.15.3
2023-06-05 16:19:30,477 INFO    MainThread:2884 [wandb_setup.py:_flush():76] Configure stats pid to 2884
2023-06-05 16:19:30,477 INFO    MainThread:2884 [wandb_setup.py:_flush():76] Loading settings from C:\Users\SHIVA SINGH\.config\wandb\settings
2023-06-05 16:19:30,477 INFO    MainThread:2884 [wandb_setup.py:_flush():76] Loading settings from C:\Users\SHIVA SINGH\Documents\GitHub\MachineLearningEngine\LLM\wandb\settings
2023-06-05 16:19:30,477 INFO    MainThread:2884 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-05 16:19:30,477 INFO    MainThread:2884 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'LLM\\main.py', 'program': 'C:\\Users\\SHIVA SINGH\\Documents\\GitHub\\MachineLearningEngine\\LLM\\main.py'}
2023-06-05 16:19:30,477 INFO    MainThread:2884 [wandb_init.py:_log_setup():507] Logging user logs to C:\Users\SHIVA SINGH\Documents\GitHub\MachineLearningEngine\LLM\wandb\run-20230605_161930-22dtx73m\logs\debug.log
2023-06-05 16:19:30,477 INFO    MainThread:2884 [wandb_init.py:_log_setup():508] Logging internal logs to C:\Users\SHIVA SINGH\Documents\GitHub\MachineLearningEngine\LLM\wandb\run-20230605_161930-22dtx73m\logs\debug-internal.log
2023-06-05 16:19:30,477 INFO    MainThread:2884 [wandb_init.py:init():547] calling init triggers
2023-06-05 16:19:30,477 INFO    MainThread:2884 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-06-05 16:19:30,477 INFO    MainThread:2884 [wandb_init.py:init():596] starting backend
2023-06-05 16:19:30,477 INFO    MainThread:2884 [wandb_init.py:init():600] setting up manager
2023-06-05 16:19:30,477 INFO    MainThread:2884 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-06-05 16:19:30,477 INFO    MainThread:2884 [wandb_init.py:init():606] backend started and connected
2023-06-05 16:19:30,477 INFO    MainThread:2884 [wandb_init.py:init():700] updated telemetry
2023-06-05 16:19:31,012 INFO    MainThread:2884 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-06-05 16:19:32,127 INFO    MainThread:2884 [wandb_run.py:_on_init():2177] communicating current version
2023-06-05 16:19:32,473 INFO    MainThread:2884 [wandb_run.py:_on_init():2186] got version response 
2023-06-05 16:19:32,473 INFO    MainThread:2884 [wandb_init.py:init():787] starting run threads in backend
2023-06-05 16:19:32,943 INFO    MainThread:2884 [wandb_run.py:_console_start():2158] atexit reg
2023-06-05 16:19:32,943 INFO    MainThread:2884 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-06-05 16:19:32,943 INFO    MainThread:2884 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-06-05 16:19:32,943 INFO    MainThread:2884 [wandb_run.py:_redirect():2103] Redirects installed.
2023-06-05 16:19:32,943 INFO    MainThread:2884 [wandb_init.py:init():829] run started, returning control to user process
2023-06-05 16:19:46,860 WARNING MsgRouterThr:2884 [router.py:message_loop():77] message_loop has been closed
